competitor_name,influencer_name,similarity_score
medterra.international,mattdoesfitness,0.053527355
medterra.international,ohpolly,0.089825965
medterra.international,oliviadbowen,0.06755328
medterra.international,rogersnipes,0.07960378
medterra.international,slimmingworld,0.11087257
medterra.international,sylvijaa,0.03869214
medterra.international,thebodycoach,0.08157407
medterra.international,thefitnesschef_,0.06415151
medterra.international,_jackfowler_,0.06340289
motionnutrition,aaroncgshore,0.049526982
motionnutrition,adamcollard,0.07031283
motionnutrition,aliceliveing,0.072136834
motionnutrition,brown.elle,0.03885508
motionnutrition,charlottedawsy,0.08363337
motionnutrition,chessieking,0.074852474
motionnutrition,chloe.khan,0.060928587
motionnutrition,courtneydblack,0.06654419
motionnutrition,danosborneofficial,0.06506901
motionnutrition,gabbydawnallen,0.07642846
motionnutrition,ini.helen,0.034567986
motionnutrition,itsalwayshana,0.06721346
motionnutrition,jamesgshore,0.056011785
motionnutrition,jamessmithpt,0.05079955
motionnutrition,jesshunt2,0.050135445
motionnutrition,jessica_rose_uk,0.047496565
motionnutrition,jesswright77,0.05794809
motionnutrition,katiepiper_,0.07359094
motionnutrition,korisampson,0.052382015
motionnutrition,lucymeck1,0.06891216
motionnutrition,mac_griffiths_,0.054194666
motionnutrition,mattdoesfitness,0.06358698
motionnutrition,ohpolly,0.07789326
motionnutrition,oliviadbowen,0.072651684
motionnutrition,rogersnipes,0.070397414
motionnutrition,slimmingworld,0.09293467
motionnutrition,sylvijaa,0.061605208
motionnutrition,thebodycoach,0.07198343
motionnutrition,thefitnesschef_,0.059504792
motionnutrition,_jackfowler_,0.06776987
neat_nutrition,aaroncgshore,0.054773957
neat_nutrition,adamcollard,0.100602366
neat_nutrition,aliceliveing,0.101458676
neat_nutrition,brown.elle,0.037723925
neat_nutrition,charlottedawsy,0.100887366
neat_nutrition,chessieking,0.09296121
neat_nutrition,chloe.khan,0.06620611
neat_nutrition,courtneydblack,0.1000555
neat_nutrition,danosborneofficial,0.077962756
neat_nutrition,gabbydawnallen,0.097965956
neat_nutrition,ini.helen,0.03301468
neat_nutrition,itsalwayshana,0.069895566
neat_nutrition,jamesgshore,0.06753789
neat_nutrition,jamessmithpt,0.05987362
neat_nutrition,jesshunt2,0.05417974
neat_nutrition,jessica_rose_uk,0.055235118
neat_nutrition,jesswright77,0.06788547
neat_nutrition,katiepiper_,0.0907097
neat_nutrition,korisampson,0.06000966
neat_nutrition,lucymeck1,0.09026641
neat_nutrition,mac_griffiths_,0.062624216
neat_nutrition,mattdoesfitness,0.07529257
neat_nutrition,ohpolly,0.094215386
neat_nutrition,oliviadbowen,0.08837309
neat_nutrition,rogersnipes,0.087447345
neat_nutrition,slimmingworld,0.13661192
neat_nutrition,sylvijaa,0.06882672
neat_nutrition,thebodycoach,0.102968454
neat_nutrition,thefitnesschef_,0.10004093
neat_nutrition,_jackfowler_,0.07220751
