,competitor_name,platform,text
107,indisupplements,facebook,drop first hear new sleep support launch soon
108,indisupplements,facebook,stuff think dirt support feed animal connects life soil microorganism engineer create follow link find blog news save soil
109,indisupplements,facebook,another happy customer take word try day money back surprisinglysimplesupplements wholefoods naturalsupplements
110,indisupplements,facebook,many happy hormone produce pay know keep gut happy want know click link bio full guthealth guthealthmatters microbiome gutbrainconnection gutmicrobiome microbiomehealth surprisinglysimplesupplements naturalsupplements wholefoods nutrition
111,indisupplements,facebook,so soil source life yet die soil invisible crisis beneath time pay dirt respect come together save read late link soil savesoil saveoursoil surprisinglysimplesupplements naturalsupplements wholefoods nutrition
112,indisupplements,facebook,last chance get day body trial pack offer end midnight enter code giveitago surprisinglysimplesupplements naturalsupplements wholefoods nutrition
113,medterra.international,facebook,fast potent pain within hand reach cbd medterracbd cbdproducts cbdlife cbdlove painrelief
114,medterra.international,facebook,health wealth cbd medterracbd cbdproducts cbdlife cbdmovement cbdwellness
115,medterra.international,facebook,ever whatever happy place medterra want remind health number one need take care start daily health prioritise health positively effect every area life give cbd try time check website see award naturally formulate product make high quality hemp cbd medterracbd cbdoil cbdhealth cbdproducts
116,medterra.international,facebook,cbd always bag cbd medterracbd cbdoil cbdproducts cbdmovement cbdcream
117,medterra.international,facebook,drop day keep stress bay medterracbd cbd cbdproducts cbdhealth cbdwellness cbdbenefits weekend
118,medterra.international,facebook,adventure weekend cbd medterracbd cbdproducts cbdhealth adventure weekend
119,medterra.international,facebook,rapid cool cream make blend cbd organic make cream ideal workout competition focus joint skin cbd medterracbd cbdfacts cbdproducts workout athlete recovery
120,medterra.international,facebook,cbd tip know cbd help anxiety take low amount take high amount cbd aid sleep tip try get best result try take cbd time every day try put drop tounge second help absorption advise wait hour effect cbd affect everyone differently relax body cbd medterracbd cbdlife cbdfacts cbdproducts
121,medterra.international,facebook,happy day wonderful mother carers world today mothersday love mum medterracbd cbd
122,medterra.international,facebook,well sleep quality faster overall rapid cool cream cool effect apply feel immediately relief muscle soreness definitely increase muscle cbd medterracbd cbdlife cbdfacts cbdproducts health wellness
123,medterra.international,facebook,keep immune system strong spring mix vitamin ginger lemon ashwagandha reishi mushroom inside naturally formulate immune boost tincture cbd cbdhealth medterracbd immunesystem immunesupport immunebooster cbdproducts
124,medterra.international,facebook,broad spectrum tincture contain cbd additional beneficial compound natural terpene combine citrus flavour cbd cbdhealth cbdproducts cbdlife cbdmovement medterracbd cbdbenefits
125,medterra.international,facebook,summer vibe cbd medterracbd cbdlife cbdproducts
126,medterra.international,facebook,cbd could think well combination cbd medterracbd health wellness coffee cbdproducts cbdwellness cbdmovement
127,medterra.international,facebook,bellator mma featherweight fighter aaron pico gear war medterracbd cbd champion mma bellator fighter warready mindset mytime
128,medterra.international,facebook,medterra woman health important every woman deserve best intention keep provide woman help live healthier happier life use help sleep relaxation ease menopause help help woman happyinternationalwomensday
129,medterra.international,facebook,worker every day cbd
130,medterra.international,facebook,professional golfer lucas glover show do golf course whether compete pga tour relaxed weekend course always rely rapid cool cream help recovery cbd medterracbd athelte golf
131,medterra.international,facebook,whoever spending time make sure special happy day medterra team giveaway winner congratulation check dm today detail prize medterracbd valentine love cbd vday happyvalentinesday loveday
132,medterra.international,facebook,single relationship complicate enjoy cbd partner use lover check make sure fall love sale clock strike midnight cbd medterracbd relax valentinesday
