competitor_name,influencer_name,similarity_score
puresport,chessieking,6.318280496572462
puresport,chloe.khan,6.347178480896869
puresport,courtneydblack,6.334017521746545
puresport,danosborneofficial,6.06322611057536
puresport,gabbydawnallen,6.449204281284682
puresport,ini.helen,6.425345720644813
puresport,itsalwayshana,6.429664154878916
puresport,jamesgshore,6.297245858942978
puresport,jamessmithpt,6.287845645971087
puresport,jesshunt2,6.0127962680701845
puresport,jessica_rose_uk,6.354842409925654
puresport,jesswright77,6.150665616375673
puresport,katiepiper_,6.035933646059128
puresport,korisampson,6.552714243155581
puresport,lucymeck1,6.286387418887872
puresport,mac_griffiths_,6.359017782054894
puresport,mattdoesfitness,6.216904579350452
puresport,ohpolly,6.406574946382856
puresport,oliviadbowen,6.45608625646294
puresport,rogersnipes,6.260846873514916
puresport,slimmingworld,6.169510655976995
puresport,sylvijaa,6.3056462003960085
puresport,thebodycoach,6.343458738230788
puresport,thefitnesschef_,6.22357811690755
puresport,_jackfowler_,6.454860539982633
